station_id,lon,lat,name
1468,8.4091,48.4537,Freudenstadt
1473,11.3735,49.1780,Freystadt-Oberndorf
1490,9.4795,47.6454,Friedrichshafen
1503,7.9022,53.0643,Friesoythe-Altenoythe
1504,9.2799,51.1190,Fritzlar
1515,11.2667,48.2000,Fürstenfeldbruck
1526,9.6750,50.5335,Fulda
1544,11.3941,52.5129,Gardelegen
1550,11.0623,47.4831,Garmisch-Partenkirchen
1580,7.9549,49.9859,Geisenheim
1583,13.7732,50.7719,Geisingberg
1584,8.6473,47.9242,Geisingen
1587,11.4289,48.9481,Gelbelsee
1590,6.2463,51.4943,Geldern-Walbeck
1602,7.9931,48.4329,Ohlsbach
1605,12.1601,52.3875,Genthin
1612,12.1289,50.8813,Gera-Leumnitz
1639,8.6439,50.6017,Gießen/Wettenberg
1645,9.0500,50.9656,Gilserberg-Moischeid
1666,9.5057,54.8273,Glücksburg-Meierwik
1684,14.9506,51.1622,Görlitz
1691,9.9506,51.5003,Göttingen
1694,12.1033,53.6060,Goldberg
1721,11.2239,49.6640,Gräfenberg-Kasberg
1735,13.6291,48.7893,Grainet-Rehberg
1736,10.6797,53.5731,Grambek
1757,13.4056,54.0967,Greifswald
1758,13.4500,54.1000,Greifswald-Wieck
1759,13.9102,54.2437,Greifswalder
1766,7.6969,52.1344,Münster/Osnabrück
1803,12.3238,54.0714,Groß
1832,13.1342,49.1130,Großer
1833,13.2801,49.0851,Grosser
1834,10.4665,50.8519,Grosser
1863,9.1854,50.2667,Gründau-Breitenborn
1869,13.9338,53.3153,Grünow
1957,11.9499,51.5138,Halle-Kröllwitz
1960,11.9671,51.4831,Halle
1964,6.3821,49.9445,Olsdorf
1975,9.9881,53.6332,Hamburg-Fuhlsbüttel
1981,9.8957,53.4777,Hamburg-Neuwiedenthal
2014,9.6779,52.4644,Hannover
2023,10.7062,48.7918,Harburg
2039,10.5701,51.9000,"Harzburg,"
2044,11.1367,51.6520,Harzgerode
2074,8.9801,48.3751,Hechingen
2080,8.6676,49.4206,Heidelberg
2081,8.7251,49.3981,Königstuhl
2088,10.1307,48.6765,Heidenheim/Brenz
2110,6.1041,51.0412,Heinsberg-Schleiden
2115,7.8920,54.1750,Helgoland
2166,14.7500,51.0167,Herrnhut
2167,7.3356,49.7672,Niederwörresbach
2171,9.7378,50.8519,"Hersfeld,"
2174,10.3704,51.6254,Herzberg
2201,13.1044,54.5750,Hiddensee-Vitte
2211,7.6528,50.7371,Hilgenroth
2252,14.7457,50.8990,Bertsdorf-Hörnitz
2261,11.8761,50.3122,Hof
2290,11.0109,47.8009,Hohenpeißenberg
2303,9.5390,54.3146,Hohn
2306,10.6732,54.3194,Hohwacht
2315,13.1666,51.7657,Holzdorf
2319,11.6962,47.8823,Holzkirchen
2323,9.4964,51.8539,"Bevern,"
2338,7.5500,52.3333,Hopsten
2362,7.4839,50.5652,Hümmerich
2374,9.0564,54.4752,Husum
2385,7.3264,49.6927,Idar-Oberstein
2410,11.5362,48.7112,Ingolstadt
2429,9.5696,53.9897,Itzehoe
2437,9.5194,54.4550,Schleswig-Jagel
2444,11.5830,50.9251,Jena
2456,7.8806,53.5322,Jever
2480,8.9930,50.0643,Kahl/Main
2483,8.4891,51.1803,Kahler
2485,9.6872,48.9171,Kaisersbach-Cronhütte
2486,7.7557,49.4262,Kaiserslautern
2488,10.7876,48.7701,Kaisheim-Neuhof
2494,6.2688,51.7329,Kalkar
2497,6.5262,50.5016,Kall-Sistig
2503,10.1455,50.6266,Kaltennordheim
2521,11.2961,48.6765,Karlshuld
2522,8.3641,49.0382,Karlsruhe
2532,9.4424,51.2963,Kassel
2542,10.6007,47.8652,Kaufbeuren
2559,10.3348,47.7233,Kempten
2564,10.1433,54.3761,Kiel-Holtenau
2565,10.0929,54.3378,Kiel-Kronshagen
2575,9.9800,49.1804,Kirchberg/Jagst-Herboldshausen
2578,11.4341,53.9995,Kirchdorf/Poel
2597,10.0792,50.2241,"Kissingen,"
2600,10.1781,49.7363,Kitzingen
2601,8.4469,50.2218,Kleiner
2618,10.4803,50.8458,Kleiner
2627,13.8846,51.5554,Klettwitz
2629,6.0954,51.7612,Kleve
2638,8.7549,48.1054,Klippeneck
2641,12.9065,51.5185,Klitzschen
2656,7.5906,50.3519,Koblenz
2667,7.1575,50.8646,Köln-Bonn
2680,10.4456,50.2840,"Königshofen,"
2691,11.2173,48.6707,Königsmoos-Untermaxfeld
2700,11.4872,48.8302,Kösching
2704,12.0079,51.7515,Köthen
2708,11.0804,47.6652,"Kohlgrub,"
2712,9.1901,47.6774,Konstanz
